Species,Platform,Name,Assays,Casey's Y/N as of 2/8,Proc
homo sapiens,A-GEOD-20161,Agilent-021827 Human miRNA Microarray (V3) [miRNA_105_Jan09],6,,
homo sapiens,A-GEOD-8227,Agilent-021827 Human miRNA Microarray (V3) (miRBase release 12.0 miRNA ID version),6,,
homo sapiens,A-AFFY-44,Agilent-021529 Human CGH Whole Genome Microarray 1x1M (G4447A) (Feature Number version),6,,
homo sapiens,A-GEOD-8736,Agilent-021529 Human CGH Whole Genome Microarray 1x1M (G4447A) (Feature Number version),6,,
homo sapiens,A-AFFY-44,Agilent-019118 Human miRNA Microarray 2.0 G4470B (GeneView version),6,,
homo sapiens,A-MEXP-1125,Agilent-019118 Human miRNA Microarray 2.0 G4470B (GeneView version),6,,
homo sapiens,A-GEOD-8841,Agilent-014950 Whole Human Genome Microarray 4x44K (probe version),6,,
homo sapiens,A-GEOD-15648,Agilent-014693 Human Genome CGH Microarray 244A (G4411B) (Probe name version),6,,
homo sapiens,A-GEOD-8355,Agilent-012700 Human Genome CGH Microarray 44A G4410A_beta (Feature Number version),6,,
homo sapiens,A-GEOD-8040,Agilent Whole Human Genome Oligo Microarray 012391 G4112A,6,,
homo sapiens,A-GEOD-11181,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),6,,
homo sapiens,A-GEOD-15018,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),6,,
homo sapiens,A-MEXP-1519,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),6,,
homo sapiens,A-GEOD-16118,"Agilent Human miRNA Microarray, Version 1",6,,
homo sapiens,A-AGIL-20,Agilent Human Genome CGH Microarray 44B 013282 G4410B,6,,
homo sapiens,A-GEOD-11260,Agilent Human 244K Alternative Splicing Oligo Custom Microarray,6,,
homo sapiens,A-AFFY-33,Affymetrix GeneChip Mapping Pre-Release 10K Array (ax13339),6,,
homo sapiens,A-AFFY-34,Affymetrix GeneChip Mapping Pre-Release 10K Array (ax13339),6,,
homo sapiens,A-AFFY-91,Affymetrix GeneChip Human Tiling 2.0R D Array,6,,
homo sapiens,A-AFFY-92,Affymetrix GeneChip Human Tiling 2.0R D Array,6,,
homo sapiens,A-AFFY-93,Affymetrix GeneChip Human Tiling 2.0R D Array,6,,
homo sapiens,A-AFFY-94,Affymetrix GeneChip Human Tiling 2.0R D Array,6,,
homo sapiens,A-AFFY-95,Affymetrix GeneChip Human Tiling 2.0R D Array,6,,
homo sapiens,A-AFFY-97,Affymetrix GeneChip Human Tiling 2.0R D Array,6,,
homo sapiens,A-GEOD-5705,Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: MBNI Version 9 (UniGene 199)],6,,
homo sapiens,A-GEOD-7763,"Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 11, Hs133Av2_Hs_ENTREZG]",6,,
homo sapiens,A-GEOD-15491,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],6,,
homo sapiens,A-GEOD-15829,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],6,,
homo sapiens,A-GEOD-16231,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],6,,
homo sapiens,A-GEOD-18410,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],6,,
homo sapiens,A-GEOD-9767,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],6,,
homo sapiens,A-GEOD-10184,Affymetrix GeneChip Human Genome U133 Plus 2.0 Array [CDF: Hs133P_Hs_ENSG_8],6,,
homo sapiens,A-GEOD-19171,Affymetrix GeneChip Human Genome U133 Array Set HG-U133 Plus2 based on a custom CDF (GeneAnnot version 2.2.0),6,,
homo sapiens,A-GEOD-22358,ACRI Human2 oligo array,6,,
homo sapiens,A-GEOD-1392,ABC Human 8K,6,,
homo sapiens,A-BASE-1,35k_human oligo v1.2,6,,
hypocrea jecorina,A-GEOD-10759,ENS SGDB Trichoderma reesei Tr20_Tiling93_1,6,,
hypocrea virens,A-GEOD-9893,ENS SGDB Trichoderma virens Tv10_Tiling93_1,6,,
ketogulonicigenium vulgare,A-GEOD-14693,Agilent_028085 Ketogulonigenium vulgare custom microarray [Probe Name version],6,,
klebsiella pneumoniae,A-MEXP-2204,MYcroarray_CUST_Klebsiella-pneumoniae_30K-4rep_v1,6,,
lactococcus lactis,A-GEOD-6052,INSA Lactococcus lactis IL1403 (S1),6,,
leishmania donovani,A-GEOD-13919,Agilent-027511 Leishmania [ORF-centered version],6,,
leptospira interrogans,A-GEOD-10072,AGRF Leptospira interrogans spotted oligo array,6,,
linum usitatissimum,A-GEOD-15570,Linum usitatissimum 385K (60-mer),6,,
linum usitatissimum,A-GEOD-15571,Linum usitatissimum 385K (60-mer),6,,
listeria monocytogenes,A-GEOD-4281,JCVI PFGRC Listeria monocytogenes 27K v2 array designed primarily based on strain EGD-e,6,,
listeria monocytogenes,A-GEOD-19673,Agilent-047931 Listeria monocytogenes 15K array Lmo0503,6,,
listeria monocytogenes 08-5923,A-GEOD-18538,NimbleGen Listeria monocytogenes 3K,6,,
litomosoides sigmodontis,A-GEOD-10232,Washington University School of Medicine Microarray Core Brugia malayi microarray V.2,6,,
locusta migratoria,A-AFFY-35,Affymetrix GeneChip Drosophila Genome 2.0 Array [Drosophila_2],6,,
lodderomyces elongisporus nrrl yb-4239,A-GEOD-11081,Lodderomyces elongisporus 385K tiled array,6,,
lotus japonicus,A-GEOD-14354,Agilent_026345_Lotus japonicus_LjNov09,6,,
macaca fascicularis,A-GEOD-8393,Proprietary Affymetrix NHP GeneChip Array for Cynomolgus genome derived from Biogen Idec,6,,
macaca radiata,A-AFFY-145,Affymetrix GeneChip Rhesus Macaque Genome Array [Rhesus],6,,
marmota monax,A-AFFY-43,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],6,,
marmota monax,A-AFFY-44,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],6,,
marmota monax,A-AFFY-45,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],6,,
medicago truncatula,A-GEOD-6335,Yale University MCDB Medicago truncatula NimbleGen 390K Oligo Array,6,,
mesocricetus auratus,A-MEXP-784,Agilent Whole Rat Genome Microarray 4x44K 014879 G4131F,6,,
mesocricetus auratus,A-AFFY-33,Affymetrix GeneChip Mouse Expression Array MOE430A [MOE430A],6,,
mesocricetus auratus,A-AFFY-33,Affymetrix GeneChip Human Genome HG-U133A [HG-U133A],6,,
methanosarcina mazei,A-MEXP-1547,Methanosarcina mazei Go1,6,,
micrococcus luteus nctc 2665,A-GEOD-15582,NimbleGen Micrococcus luteus 4x72K array v1.0 - Design ID 12568,6,,
moniezia expansa,A-GEOD-7764,Biostar Genechip Moniezia expansa 4k microarray,6,,
moraxella catarrhalis atcc 43617,A-GEOD-7398,EJH Mcat Oligo-DNA Microarray 3,6,,
mus musculus,A-MTAB-504,rnomics_huett_ncrna_1,6,,
mus musculus,A-GEOD-15507,microRNA array v10 four genome,6,,
mus musculus,A-GEOD-15979,miRXplore TM Microarray (878),6,,
mus musculus,A-GEOD-16526,"miRCURY LNATM microRNA Array, Exiqon 6th generation miRCURY LNA microRNA Array.",6,,
mus musculus,A-GEOD-15733,febit Mus musculus miRNA Geniom Biochip miRBase V12.0,6,,
mus musculus,A-GEOD-15722,[Mouse430_2_Mm_ENSG_14.0.0] Affymetrix GeneChip Mouse Genome 430 2.0 Array [Brainarray Version 14],6,,
mus musculus,A-GEOD-15041,[Mouse4302_Mm_EntrezG] Affymetrix GeneChip Mouse Genome 430 2.0 Array [Brainarray Version 14],6,,
mus musculus,A-GEOD-8786,[Mouse4302_Mm_EntrezG] Affymetrix GeneChip Mouse Genome 430 2.0 Array [Brainarray Version 13],6,,
mus musculus,A-GEOD-10989,[MoGene-1_1-st] Affymetrix Mouse Gene 1.1 ST Array [probe set (exon) version],6,,
mus musculus,A-GEOD-20205,[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [alternative CDF: Brainarray MoGene10stv1_Mm_REFSEQ_14.1.0],6,,
mus musculus,A-GEOD-19317,[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [CDF: MoGene10stv1_Mm_ENSG v.18.0.0],6,,
mus musculus,A-GEOD-15251,"[MoEx-1_0-st] Affymetrix Mouse Exon 1.0 ST Array [custom CDF: moex10stv1_52_37e_0111genes.cdf], transcript(gene) version",6,,
mus musculus,A-GEOD-13455,[MoEx-1_0-st] Affymetrix Mouse Exon 1.0 ST Array [alternative CDF: Brainarray MoGene10stv1_Mm_REFSEQ version 14],6,,
mus musculus,A-GEOD-20316,"[MoEx-1_0-st] Affymetrix Mouse Exon 1.0 ST Array [Ver. 14.1.0, MoEx10stv1_Mm_ENSG]",6,,
mus musculus,A-GEOD-11410,[MoEx-1_0-st] Affymetrix Mouse Exon 1.0 ST Array (MoEx-1_0-st-v1.na25.mm9.core+miRNA.SH.11023.mps),6,,
mus musculus,A-AFFY-6,VMSR NIA5K,6,,
mus musculus,A-GEOD-15559,University of Minnesota Custom miRNA microarray,6,,
mus musculus,A-GEOD-5952,Univ_of_Bologna_Mouse_120,6,,
mus musculus,A-MEXP-1668,UPenn Mouse PromoterChip 5A (Prom5A_1_20061116),6,,
mus musculus,A-AFFY-45,UPenn Mouse PancChip 5.0,6,,
mus musculus,A-GEOD-6356,Su Lab Mouse 23K cDNA microarray,6,,
mus musculus,A-SMDB-1049,SMD Mus musculus Array MMJ,6,,
mus musculus,A-SMDB-665,SMD Mus musculus Array MMC,6,,
mus musculus,A-GEOD-21084,RiboArray lncDETECT Mouse Array 1X90K,6,,
mus musculus,A-MEXP-165,RFCGR_HGMP_Mouse_Mm_SGC_Av1,6,,
mus musculus,A-GEOD-10650,Operon Array-Ready Oligo Set Mouse Whole 34K version 4.0.1 array,6,,
mus musculus,A-GEOD-14592,OSU_CCC v4.0 [full array layout],6,,
mus musculus,A-MEXP-1838,OSU CCC miRNA chip v4,6,,
mus musculus,A-AFFY-45,Nimblegen MM8 Mouse Promoter Array,6,,
mus musculus,A-GEOD-6996,Nimblegen MM8 Mouse Promoter Array,6,,
mus musculus,A-GEOD-14849,NimbleGen_mouse(MM8)_Hoxa9 and Meis1 Binding Sequence Custom Tiling Array [Design_ID: 537603],6,,
mus musculus,A-MEXP-1175,NimbleGen_MM9_3x720K_Refseq_Promoter [090618_MM9_Refseq_Prom_ChIP],6,,
mus musculus,A-MEXP-724,NimbleGen mouse (mm8) whole genome tiling array 3 of 4,6,,
mus musculus,A-GEOD-8223,NimbleGen Plasmodium yoelii + Mus musculus 189K array v1.0,6,,
mus musculus,A-GEOD-19213,NimbleGen Mus musculus 385K Array [2006_08_03_MM8_60mer_expr],6,,
mus musculus,A-AFFY-130,NimbleGen Mouse MM8 Deluxe Promoter Array,6,,
mus musculus,A-GEOD-9485,NimbleGen Mouse MM8 Deluxe Promoter Array,6,,
mus musculus,A-AFFY-45,NimbleGen Mouse CGH 3x720K Whole-Genome Tiling Array (Build MM9),6,,
mus musculus,A-GEOD-10989,NimbleGen Mouse CGH 3x720K Whole-Genome Tiling Array (Build MM9),6,,
mus musculus,A-MEXP-607,NimbleGen Mouse 2005-07-29 Heart Expression v1,6,,
mus musculus,A-AFFY-130,NimbleGen MM8 Mouse Promoter plus CpG Island 374K Tiling Array,6,,
mus musculus,A-GEOD-10787,NimbleGen Custom Mouse Hox Tiling Array,6,,
mus musculus,A-GEOD-4746,NeuroTrans_UMR7637,6,,
mus musculus,A-GEOD-13806,NIAID/NIH Mouse Mmbe-33 Array,6,,
mus musculus,A-GEOD-2551,NIA Mouse 44K Microarray v1.0 (Development-Toxicology 60-mer Oligo),6,,
mus musculus,A-NCMF-1,NCMF Mus musculus design 8.32k,6,,
mus musculus,A-GEOD-4575,Mus Musculus Mm27k_7M Array,6,,
mus musculus,A-GEOD-14883,Murine 15K Spotted cDNA array II,6,,
mus musculus,A-AFFY-36,Mouse lincRNA Tiling Array (HD2 Platform),6,,
mus musculus,A-MEXP-42,Mouse M15K1,6,,
mus musculus,A-GEOD-19050,Mouse Genome-Wide SpliceArray microarrays on the Affymetrix platform,6,,
mus musculus,A-MEXP-116,MRC_Toxicology_Unit_Mm040524,6,,
mus musculus,A-GEOD-18431,MRA-1002_miRMouse_17,6,,
mus musculus,A-GEOD-17419,MRA-1002_miRMouse_16,6,,
mus musculus,A-GEOD-9045,MPB Murine 16K BMAP-MSV printrun 7.1,6,,
mus musculus,A-GEOD-9046,MPB Murine 16K BMAP-MSV printrun 7.1,6,,
mus musculus,A-GEOD-8326,MCD_Mouse_22K_2,6,,
mus musculus,A-GEOD-8329,MCD_Mouse_22K_2,6,,
mus musculus,A-GEOD-8530,LC_MRA-1002_miRMouse_13.0_090309,6,,
mus musculus,A-GEOD-20871,LC_MRA-1002-miRMouse_21,6,,
mus musculus,A-MEXP-1787,LC miRMouse_10.1_GIS_080307-MRA-1002C with composites,6,,
mus musculus,A-MEXP-19,JAX1_cDNA,6,,
mus musculus,A-GEOD-13533,Invitrogen Ncode miRBase Microarray V2,6,,
mus musculus,A-GEOD-19625,Illumina MouseWG-6 v2.0 expression beadchip [MouseWG-6_V2_0_R1_11278593_A version],6,,
mus musculus,A-GEOD-9526,Illumina MouseWG-6 v2.0 expression beadchip [Alternative CDF: affy4248alt],6,,
mus musculus,A-AFFY-23,Illumina MouseWG-6 v2.0 Expression BeadChip,6,,
mus musculus,A-GEOD-7099,Illumina MouseRef-8 v2.0 Expression BeadChip,6,,
mus musculus,A-MEXP-1497,Illumina Mouse microRNA MI_V1_R0_XS0000127-MAP,6,,
mus musculus,A-GEOD-15894,IMP Genomics Mouse 43MM,6,,
mus musculus,A-GEOD-15895,IMP Genomics Mouse 43MM,6,,
mus musculus,A-GEOD-15896,IMP Genomics Mouse 43MM,6,,
mus musculus,A-GEOD-15896,IMP Genomics Mouse 41MM,6,,
mus musculus,A-GEOD-15895,IMP Genomics Mouse 40MM,6,,
mus musculus,A-GEOD-15894,IMP Genomics Mouse 35MM,6,,
mus musculus,A-MEXP-2386,ICR-HSA-miRNA-439v2,6,,
mus musculus,A-GEOD-15628,Exiqon miRPlus_V9.0_300107,6,,
mus musculus,A-GEOD-10192,Exiqon miRCURY array,6,,
mus musculus,A-GEOD-18058,"Exiqon miRCURY LNA microRNA array, 7th generation [miRBase v18, condensed Probe_ID version]",6,,
mus musculus,A-MEXP-1837,Exiqon miRCURY LNA microRNA Array v.11.0 - hsa mmu and rno miRBase 12.0 annotation (4608 features),6,,
mus musculus,A-GEOD-14725,Exiqon Mouse microRNA v11.0.,6,,
mus musculus,A-GEOD-6350,Exiqon MicroRNA Array  ver_208000 V8.1 lot number 20728-20399,6,,
mus musculus,A-GEOD-17315,"Exiqon A/S miRCURY LNA microRNA Array, 6th generation - hsa, mmu & rno - miRBase 16.0",6,,
mus musculus,A-GEOD-7017,ENS SGDB Mus musculus 22k Compugen,6,,
mus musculus,A-MEXP-649,EMBL Mus musculus IronChip 0.5k v7,6,,
mus musculus,A-MEXP-61,EMBL Mus musculus IronChip 0.36k v4,6,,
mus musculus,A-MEXP-1924,Divekar- Mus musculus-miFinder miRNA PCR array,6,,
mus musculus,A-GEOD-8733,DiscovArray human miRNA 13k array [HDDA],6,,
mus musculus,A-GEOD-5025,Codelink Mouse Whole genome array platform for TAMU CERH genomics core,6,,
mus musculus,A-GEHB-3,CodeLink UniSet Mouse 20K I Bioarray,6,,
mus musculus,A-GEOD-4377,CEA - DSV/DRR/SGF : AFJ,6,,
mus musculus,A-GEOD-7257,BTI oligonucleotide microarray using Ambion miRNA probesets (#1564v1),6,,
mus musculus,A-MEXP-1175,Applied Biosystems Taqman Array Rodent MicroRNA CardA v3.0,6,,
mus musculus,A-MEXP-724,Agilent-046065 Mouse_miRNA_V19.0_Microarray (miRNA ID version),6,,
mus musculus,A-GEOD-10424,Agilent-023144 Mouse Metastable Epialleles,6,,
mus musculus,A-GEOD-14188,Agilent-015868 Mouse LMT_miRNA_v2 microarray_NCI-Frederick (Sanger miR9.0 database),6,,
mus musculus,A-AFFY-45,Agilent-015436 Copy_of_Mouse Promoter ChIP-on-Chip Set 244K Microarray 2 of 2,6,,
mus musculus,A-AFFY-45,Agilent-014929 Mouse Promoter tiling array set. Microarray 2 of 2,6,,
mus musculus,A-GEOD-11180,Agilent Whole Mouse Genome Microarray 4x44K 014868 G4122F (annotation from 02.2007),6,,
mus musculus,A-GEOD-16157,Agilent Whole Mouse Genome Microarray 4x44K 014868 G4122F (annotation from 02.2007),6,,
mus musculus,A-GEOD-9833,Agilent Whole Mouse Genome Microarray 4x44K 014868 G4122F (annotation from 02.2007),6,,
mus musculus,A-MEXP-2061,Agilent Whole Mouse Genome 012694 G4122A,6,,
mus musculus,A-MEXP-724,Agilent Mouse miRNA Microarray 8 x 15K 019119 (82 Col x 192 Row),6,,
mus musculus,A-AFFY-130,Agilent Mouse Promoter Whole Genome ChIP-on-chip Microarray 1 x 244K 014716 G4490A,6,,
mus musculus,A-AFFY-45,Affymetrix Mus musculus 4K chromosome 11 and 16 CustomExpress Array,6,,
mus musculus,A-GEOD-16695,Affymetrix Mouse Gene 1.1 ST array using a CDF [CDF:mogene11stv1mmentrezgcdf; mogene11stv1mmentrezg.db version: 15.1.0],6,,
mus musculus,A-MTAB-537,Affymetrix GeneChip miRNA 4.0 Array [miRNA-4_0],6,,
mus musculus,A-AFFY-184,Affymetrix GeneChip miRNA 2.0 Array [miRNA-2_0],6,,
mus musculus,A-GEOD-10680,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],6,,
mus musculus,A-GEOD-14188,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],6,,
mus musculus,A-GEOD-16446,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],6,,
mus musculus,A-GEOD-16526,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],6,,
mus musculus,A-GEOD-6456,Affymetrix GeneChip Mouse Genome 430 2.0 Array [CDF: Mm_UNIGENEG_8],6,,
mus musculus,A-GEOD-8786,Affymetrix GeneChip Mouse Exon 1.0 ST Array [MoEx-1_0-st-v1],6,,
mus musculus,A-AFFY-141,Affymetrix GeneChip Human Gene 1.0 ST Array [HuGene-1_0-st-v1],6,,
mus musculus,A-GEOD-9961,32K_Mouse_Genome_Array_gene list,6,,
mus musculus,A-AFFY-45,090316-Mouse DNA Methylation 2.1M Deluxe Promoter Array,6,,
mus musculus,A-GEOD-8786,090316-Mouse DNA Methylation 2.1M Deluxe Promoter Array,6,,
mycobacterium avium 104,A-GEOD-18288,MaviMtuba520731F Affymetrix Mycobacterium avium Genome Array,6,,
mycobacterium bovis bcg,A-GEOD-8431,CDRI Mycobacterium tuberculosis H37Rv Whole Genome Microarray 4.1k,6,,
mycobacterium smegmatis,A-JCVI-39,JCVI PFGRC Mycobacterium smegmatis 25K v4 array primarily designed for strain MC2_155,6,,
mycobacterium smegmatis str. mc2 155,A-GEOD-11392,NimbleGen Mycobacterium smegmatis 6.7k array [100415_Msme_GP_exp],6,,
mycobacterium smegmatis str. mc2 155,A-GEOD-20299,Agilent Custom Mycobacterium smegmatis Gene Expression 8X15k (AMADID: 029929),6,,
mycobacterium tuberculosis,A-GEOD-15500,Agilent-023057 Genotypic Technology designed Custom Mycobacterium tuberculosis h37Rv Whole Genome 8x15k GE Microarray,6,,
mycobacterium tuberculosis h37rv,A-GEOD-14896,SBRI_MTuberculosis_12x130K_ver2.0 (gene level),6,,
mycobacterium tuberculosis h37rv,A-GEOD-5774,JCVI PFGRC Mycobacterium tuberculosis 22K v4 array designed primarily based on strain H37Rv,6,,
mycoplasma gallisepticum,A-GEOD-4729,Geary Mycoplasma gallisepticum oligo array,6,,
neisseria meningitidis,A-GEOD-9549,Neisseria Version1.0.4,6,,
nematostella vectensis,A-MTAB-523,Nimblegen090417 N.vectensisSars FR expression,6,,
nematostella vectensis,A-GEOD-16896,Agilent-022085 SIMR Nematostella 44k 11-2008 [Agilent feature number version],6,,
nicotiana tabacum,A-MEXP-1867,TOM1,6,,
nilaparvata lugens,A-GEOD-20083,"Agilent Brown planthopper (BPH) microarray version 2 (018781), containing partial spider mite EST",6,,
notophthalmus viridescens,A-MEXP-1850,Simon_salamander_44k,6,,
olea europaea,A-GEOD-16379,NimbleGen 120629_Olea_Populus_TU_exp,6,,
oncidium gower ramsey,A-GEOD-11398,CSL Onc flower cDNA array,6,,
oncorhynchus mykiss,A-MEXP-309,VJ-O-Mykiss-Stress2005,6,,
oryza sativa,A-GEOD-19566,[RCnGene-1_0-st] Affymetrix Rice (Chinese Build) Gene 1.0 ST Array [transcript (gene) version],6,,
oryza sativa,A-GEOD-9760,GreenGene/Operon/Galbraith lab Rice 60K Oligo Array,6,,
oryza sativa,A-GEOD-10338,GreenGene/Operon Rice 60K Oligo Array,6,,
oryza sativa (japonica cultivar-group),A-MEXP-1386,NSF Ricearray 22K,6,,
oryza sativa japonica group,A-MTAB-557,Oryza sativa Japonica [RUSGene-1_0-st-v1],6,,
oryza sativa japonica group,A-AGIL-10,Agilent Rice Oligo Microarray 012106 G4138A,6,,
oryzias latipes,A-GEOD-13167,Agilent-023673 ECSFRI medaka 4x44K,6,,
ostrinia nubilalis,A-GEOD-18391,Agilent-022595 Ostrinia nubilalis ECB Gut Expression,6,,
pan troglodytes,A-AFFY-143,"Affymetrix GeneChip Human Exon 1.0 ST Array version 1, [HuEx-1_0-st-v1]",6,,
paracoccus denitrificans pd1222,A-GEOD-17412,Agilent-026990 Paracoccus denitrificans,6,,
pasteurella multocida,A-GEOD-8988,Boyce/Adler_P. multocida_Combi12K_V1.0_2008,6,,
pectobacterium atrosepticum,A-MEXP-942,SCRI Pectobacterium atrosepticum 11k v2,6,,
pectobacterium wasabiae,A-GEOD-15986,Agilent-025620 wasabiearray1,6,,
pelobacter carbinolicus,A-GEOD-5427,Pelobacter carbinolicus antisense-detecting 12K oligo array,6,,
peptoclostridium difficile,A-GEOD-18424,Agilent-038200 Clostridium difficile Clos_diff630,6,,
phaeodactylum tricornutum,A-GEOD-5690,Ecole Normale Superieure/Lopez_Phaeodactylum tricornutum_7K_v1.0,6,,
pinus sylvestris,A-GEOD-19078,NimbleGen Pine 36K array v1.0,6,,
plasmodium berghei,A-GEOD-8053,MIE Plasmodium berghei 22k Microarray,6,,
plasmodium falciparum,A-GEOD-18591,NimbleGen Plasmodium falciparum 385K tiling expression array [2007-05-16_Pfal_DS_Tiling; gene-level],6,,
plasmodium falciparum,A-GEOD-9482,IMTSSA/UMR-MD3/UNIVMED - Plasmodium falciparum - 2x11k v1.0,6,,
polaromonas sp. js666,A-GEOD-8287,NimbleGen Polaromonas JS666 385K array v1.0 (condensed),6,,
populus alba x populus glandulosa,A-GEOD-19070,Agilent Popular 8X60K oligo array,6,,
populus tremuloides,A-GEOD-9334,Aspen 7K Array version 2.1,6,,
populus trichocarpa x populus deltoides,A-GEOD-13485,Populus trichocarpa 12-plex whole genome expression array,6,,
populus trichocarpa x populus deltoides,A-GEOD-6032,PICME Poplar 28K Series 3,6,,
populus trichocarpa x populus deltoides,A-MEXP-535,KTH_UPSC Poplar POP1 27648 Vb35,6,,
populus trichocarpa x populus deltoides,A-AFFY-131,Affymetrix GeneChip Poplar Genome Array [Poplar],6,,
porphyromonas gingivalis,A-MEXP-2286,MDS Combination Pg 1977 V1,6,,
porphyromonas gingivalis,A-GEOD-7531,CRC-OHS Porphyromonas gingivalis W83 1977v2,6,,
porphyromonas gingivalis atcc 33277,A-GEOD-1438,PFGRC Porphyromonas gingivalis 70 mer oligo array.,6,,
porphyromonas gingivalis w83,A-GEOD-6533,Porphyromonas gingivalis W83 array,6,,
postia placenta,A-GEOD-13673,UW/FPL Postia placenta MAD-698 whole genome 37K expression array version 1 (non-condensed version),6,,
pseudomonas aeruginosa,A-MEXP-1761,Franz_Combimatrix_Pseudomonas,6,,
pseudomonas aeruginosa m18,A-GEOD-11372,Agilent_custom_Pseudomonas sp. M18_ 8*15K,6,,
pseudomonas fluorescens pf-5,A-GEOD-7621,JCVI Pseudomonas fluorescens Pf-5 28k v2.0,6,,
pseudomonas fluorescens pf29arp,A-GEOD-18299,Pseudomonas fluorescens Pf29Arp microarray,6,,
pseudomonas protegens,A-GEOD-7620,JCVI Pseudomonas fluorescens Pf-5 28k v2.0,6,,
pseudomonas protegens,A-GEOD-7620,JCVI Pseudomonas fluorescens Pf-5 23k v1.0,6,,
pseudomonas putida kt2440,A-GEOD-13341,NimbleGen_Ppu_4-plex array v1.0,6,,
rattus norvegicus,A-GEOD-18610,[RaGene-1_0-st] Affymetrix Rat Gene 1.0 ST Array,6,,
rattus norvegicus,A-GEOD-6543,[RaEx-1_0-st] Affymetrix Rat Exon 1.0 ST Array [probe set (exon) version],6,,
rattus norvegicus,A-GEOD-19135,SurePrint G3 Rat GE 8x60K Microarray Toxplus ver.1 [Probe Name Version],6,,
rattus norvegicus,A-MEXP-1130,ResGen Rat GeneFilter Release 3 GF302,6,,
rattus norvegicus,A-MEXP-1131,ResGen Rat GeneFilter Release 3 GF302,6,,
rattus norvegicus,A-MEXP-1132,ResGen Rat GeneFilter Release 3 GF302,6,,
rattus norvegicus,A-GEOD-8113,RASTA Rattus norvegicus 0.3 k ver. 1,6,,
rattus norvegicus,A-GEOD-15782,Pancchip 6.1 arrays v3,6,,
rattus norvegicus,A-GEOD-17502,NimbleGen rat Gene Expression 12x135K array [090901_Rat_HX12_expr],6,,
rattus norvegicus,A-GEOD-16994,NimbleGen Rat CpG Island Plus RefSeq Promoter 720k array [100718_RN34_CpG_Refseq_Prom_MeDIP],6,,
rattus norvegicus,A-GEOD-14011,MI Rat 39K oligo array,6,,
rattus norvegicus,A-GEOD-14819,LC Sciences_Vertebrate_microRNA_Version17 (MRA-1033),6,,
rattus norvegicus,A-MEXP-22,Incyte RatGEM 1.05,6,,
rattus norvegicus,A-MEXP-1501,"Exiqon miRCURY LNA microRNA Array v.9.2 - all organisms, miRBase 9.2 annotation",6,,
rattus norvegicus,A-GEOD-18683,CodeLink Rat Whole Genome Array - reannotated,6,,
rattus norvegicus,A-MEXP-692,Cochin-Rattus-A4353001-00-01Rat_60mer_expr,6,,
rattus norvegicus,A-GEOD-14976,Affymetrix GeneChip Rat Genome 230 2.0 Array [custom CDF: Rn230_Rn_UG_v9],6,,
rhagoletis pomonella,A-GEOD-13946,Agilent-023387 Rhagoletis pomonella custom cDNA array,6,,
rhizobium etli cfn 42,A-GEOD-10081,CCG-UNAM Rhizobium etli CFN42 6051 v1.0,6,,
rhodobacter sphaeroides 2.4.1,A-GEOD-10463,Rhodobacter sphaeroides 2.4.1 GeneChip,6,,
rhodobavter sphaeroides strain 2.4.1,A-GEOD-162,Rhodobacter sphaeroides 2.4.1 GeneChip,6,,
rhodopseudomonas palustris,A-GEOD-3953,Rhodopseudomonas palustris Affymetrix GeneChip,6,,
saccharomyces cerevisiae,A-MEXP-891,Vescovo Yeast Y6.4k4,6,,
saccharomyces cerevisiae,A-GEOD-14964,UofToronto-yeastORF-6.4k6,6,,
saccharomyces cerevisiae,A-SMDB-497,"SMD Saccharomyces cerevisiae Array SMD y19, 8064 features",6,,
saccharomyces cerevisiae,A-GEOD-6890,Ramaciotti Centre for Gene Function Analysis MWG Saccharomyces cerevisiae 7K array v3,6,,
saccharomyces cerevisiae,A-GEOD-7078,HUGHES_Toronto_44K_v1.0,6,,
saccharomyces cerevisiae,A-GEOD-11639,GenoToul/Biopuces Yeast 22x22 (Oligo-Set_Contol-Toulouse-Yeast v1.1.2),6,,
